model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,8,0.8070406555310431,0.7949326129198586,0.7938172309204686,0.8070406555310431,0.8729860569324227
nb,nofs,8,0.7411996103486806,0.7475371352670124,0.7777178663600163,0.7411996103486806,0.8270739182769262
knn,nofs,8,0.8024934819356503,0.7921901954958759,0.7862383066530818,0.8024934819356503,0.8414671496698432
rf,nofs,8,0.8151777784144629,0.8036109249067277,0.7976614248367676,0.8151777784144629,0.8783932860818287
dt,nofs,8,0.7388107039509497,0.7397665845296434,0.7423813592402757,0.7388107039509497,0.7306465233812709
gb,nofs,8,0.8149376844397329,0.8055410086672161,0.807759947331129,0.8149376844397329,0.8881144208792827
ab,nofs,8,0.747409105234507,0.6990563020675882,0.7046722891819892,0.747409105234507,0.5017173483434497
svc,nofs,8,0.8089539581124832,0.7960785754303837,0.7948964335833009,0.8089539581124832,0.8731873297240484
ri,nofs,8,0.8056020972409248,0.7931387412772922,0.791682084826009,0.8056020972409248,0.8738137803804416
xgb,nofs,8,0.8034487006847548,0.7946363069723477,0.7892950060488151,0.8034487006847548,0.8690689147773814
lr,corr,1,0.8000965533048736,0.7882415910590315,0.7907119227546181,0.8000965533048736,0.8698597365157242
nb,corr,1,0.7945950204853451,0.7875014615034408,0.8006137694931835,0.7945950204853451,0.870386666200839
knn,corr,1,0.7696945821276108,0.7576489036810183,0.7608033446591064,0.7696945821276108,0.8048716870496759
rf,corr,1,0.7742400366730654,0.7642429810628667,0.7622072583333349,0.7742400366730654,0.8255898042255051
dt,corr,1,0.7663387101395296,0.7576164409048355,0.7543525127219679,0.7663387101395296,0.7991564460876794
gb,corr,1,0.8010526315789473,0.7894278723527457,0.7898839295276954,0.8010526315789473,0.8616956559463569
ab,corr,1,0.8010529180872703,0.7889980189105679,0.7902661899524961,0.8010529180872703,0.5082843638921191
svc,corr,1,0.7996189439303212,0.7883095226142307,0.7893256554008936,0.7996189439303212,0.8682068463741144
ri,corr,1,0.7998587513967281,0.7884731789303263,0.7914715965972642,0.7998587513967281,0.8715571807821613
xgb,corr,1,0.7919559923215769,0.7813706608619703,0.7803715302738204,0.7919559923215769,0.8533462676703711
lr,tree,1,0.7804652895166604,0.7640633053312784,0.7739335736724389,0.7804652895166604,0.8568601109375382
nb,tree,1,0.7792676847262412,0.7621874440343077,0.7738163774647401,0.7792676847262412,0.8568623338352637
knn,tree,1,0.737374437727416,0.7126104871755768,0.7459093479875442,0.737374437727416,0.7565598396017039
rf,tree,1,0.7680182219293471,0.7516137248380268,0.7670221293598788,0.7680182219293471,0.8431464878064439
dt,tree,1,0.7689763057616823,0.7530992529581784,0.767379380033365,0.7689763057616823,0.8432342241610533
gb,tree,1,0.7675391800131794,0.7508585755945909,0.7678279580541345,0.7675391800131794,0.8466730738259741
ab,tree,1,0.7771160072200096,0.7608255672955823,0.773727904204691,0.7771160072200096,0.5362765185040507
svc,tree,1,0.7787892158267198,0.7614217148188015,0.7739939756503549,0.7787892158267198,0.8500098340175521
ri,tree,1,0.778790075351689,0.7644782005928038,0.7708776345998161,0.778790075351689,0.8570214638236612
xgb,tree,1,0.7680182219293471,0.7516137248380268,0.7670221293598788,0.7680182219293471,0.8451791596469855
lr,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7235436480450852
nb,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7235436480450852
knn,var,1,0.614375841618199,0.6053382451367841,0.6274606310804114,0.614375841618199,0.736648764562535
rf,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7485697451090133
dt,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7485697451090133
gb,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7485697451090133
ab,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7485697451090133
svc,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7183882081500202
ri,var,1,0.762033349568805,0.7514898419294385,0.7431452422177514,0.762033349568805,0.7235436480450852
