model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,30,0.9630957925787922,0.9627991121705142,0.9640362295654772,0.9630957925787922,0.9927528565016281
nb,nofs,30,0.927930445582984,0.9277690434964605,0.9294208711575942,0.927930445582984,0.9839225707388171
knn,nofs,30,0.9666200900481291,0.9664490857710893,0.9674931735661685,0.9666200900481291,0.9871674491392801
rf,nofs,30,0.9578481602235678,0.9576528721431907,0.9584214059683317,0.9578481602235678,0.9913972746903472
dt,nofs,30,0.9191119391398852,0.919428436311198,0.9231932113087918,0.9191119391398852,0.9182665762013944
lr,corr,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,corr,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,corr,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,corr,1,0.883946592144077,0.8836895508469113,0.8848525114525172,0.883946592144077,0.926863712420951
dt,corr,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,tree,1,0.8910883403198261,0.8885089889245437,0.8952613113496122,0.8910883403198261,0.9633718330655767
nb,tree,1,0.9104021114733737,0.9098583281895417,0.9124308711212787,0.9104021114733737,0.9632408143954164
knn,tree,1,0.9050923769600994,0.9051466719551999,0.9075383261000523,0.9050923769600994,0.9294107236008644
rf,tree,1,0.8558919422449929,0.8553291058003131,0.8577331044059212,0.8558919422449929,0.9271199981976267
dt,tree,1,0.8523676447756559,0.8516993795125394,0.8537787039383824,0.8523676447756559,0.842647757778367
lr,var,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,var,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,var,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,var,1,0.8822077317186772,0.8819294832280125,0.8840632531192572,0.8822077317186772,0.9303208246030878
dt,var,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,lrs,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,lrs,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,lrs,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,lrs,1,0.8822077317186772,0.8819294832280125,0.8840632531192572,0.8822077317186772,0.9269113063393281
dt,lrs,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,rfe,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,rfe,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,rfe,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,rfe,1,0.8839621176835895,0.8839267051187182,0.8856886832163845,0.8839621176835895,0.9269467688993565
dt,rfe,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,bor,1,0.8611861512187549,0.8527728478737077,0.8786623884841342,0.8611861512187549,0.9406557670744536
nb,bor,1,0.8875795683900016,0.882980848122021,0.8960602543059896,0.8875795683900016,0.9398041457184103
knn,bor,1,0.8699891321223413,0.8672793080760359,0.8741845815354546,0.8699891321223413,0.895642556891738
rf,bor,1,0.8295295761527713,0.8276814135470012,0.8361702611272384,0.8295295761527713,0.8901686388789238
dt,bor,1,0.8295451016922838,0.8276353574314438,0.8351918443647313,0.8295451016922838,0.8122997351031251
lr,lass,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,lass,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,lass,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,lass,1,0.8839621176835895,0.8839267051187182,0.8856886832163845,0.8839621176835895,0.9257780208382075
dt,lass,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,muin,1,0.8998757956839001,0.8953274438362906,0.91384963770377,0.8998757956839001,0.9769796535457361
nb,muin,1,0.9139264089427108,0.9122463394049138,0.9173746800532028,0.9139264089427108,0.9765865975352547
knn,muin,1,0.9051079024996118,0.9040945515917296,0.9069348461981415,0.9051079024996118,0.9628804047367755
rf,muin,1,0.8839776432231019,0.8837569240798709,0.8890344851115459,0.8839776432231019,0.9563364359282309
dt,muin,1,0.8840397453811519,0.8831034175452459,0.8872154008014606,0.8840397453811519,0.8843216707653327
lr,chi,1,0.8910883403198261,0.8885089889245437,0.8952613113496122,0.8910883403198261,0.9633718330655767
nb,chi,1,0.9104021114733737,0.9098583281895417,0.9124308711212787,0.9104021114733737,0.9632408143954164
knn,chi,1,0.9050923769600994,0.9051466719551999,0.9075383261000523,0.9050923769600994,0.9294107236008644
rf,chi,1,0.8558919422449929,0.8553291058003131,0.8577331044059212,0.8558919422449929,0.9254352449754514
dt,chi,1,0.8523676447756559,0.8516993795125394,0.8537787039383824,0.8523676447756559,0.842647757778367
lr,rfc,1,0.9121720229777985,0.911162149159986,0.9146677030382392,0.9121720229777985,0.9680880069391369
nb,rfc,1,0.9068622884645242,0.9065880973497805,0.909079328305571,0.9068622884645242,0.9680880069391369
knn,rfc,1,0.8963359726750506,0.8955101484657936,0.8976005343640295,0.8963359726750506,0.9345566183491993
rf,rfc,1,0.8822077317186772,0.8820145694057029,0.8842123205417071,0.8822077317186772,0.9258533219125258
dt,rfc,1,0.876929048284428,0.8762400267072563,0.8777371294077231,0.876929048284428,0.8797790186424317
lr,corr,2,0.9367644775655954,0.935840444264213,0.9392793474922969,0.9367644775655954,0.9814476219938062
nb,corr,2,0.9384722869119703,0.9385965172724656,0.9392887136623079,0.9384722869119703,0.9840434293963609
knn,corr,2,0.9279614966620089,0.9275519208858996,0.9279844086804125,0.9279614966620089,0.9697813495962858
rf,corr,2,0.9297158826269213,0.9294699432977088,0.9308992063512843,0.9297158826269213,0.9796161876513171
dt,corr,2,0.912125446359261,0.9121954532646607,0.9134861719827466,0.912125446359261,0.908141614545152
lr,tree,2,0.9367644775655954,0.935840444264213,0.9392793474922969,0.9367644775655954,0.9814476219938062
nb,tree,2,0.9384722869119703,0.9385965172724656,0.9392887136623079,0.9384722869119703,0.9840434293963609
knn,tree,2,0.9279614966620089,0.9275519208858996,0.9279844086804125,0.9279614966620089,0.9697813495962858
rf,tree,2,0.924437199192672,0.9242819033523826,0.9250318068469147,0.924437199192672,0.97932981177331
dt,tree,2,0.9173886042539978,0.9174799338448135,0.918128789054949,0.9173886042539978,0.9132287263633481
lr,var,2,0.9227293898462972,0.9216318498236751,0.9273666916702107,0.9227293898462972,0.9705329522353761
nb,var,2,0.912156497438286,0.9122042064855291,0.9142903370757711,0.912156497438286,0.9702731461984655
knn,var,2,0.9033845676137245,0.9027284031403177,0.9055477471999117,0.9033845676137245,0.9345454834952868
rf,var,2,0.8980903586399627,0.897003747527091,0.9024379053087932,0.8980903586399627,0.9420906251462263
dt,var,2,0.8769756249029654,0.8764495022820593,0.8788338367290379,0.8769756249029654,0.865515379096283
lr,lrs,2,0.9420276354603322,0.9411840301125498,0.944928619232785,0.9420276354603322,0.9833674311155477
nb,lrs,2,0.9472752678155565,0.9473751310673336,0.9484024893039316,0.9472752678155565,0.9857595616766923
