model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,18,0.47837062535857716,0.41330290806694253,0.4054274838304199,0.47837062535857716,0.7029898195762696
nb,nofs,18,0.2747561675272519,0.3003363399946559,0.38492535070098477,0.2747561675272519,0.6284110171339136
knn,nofs,18,0.442512908777969,0.4303717817151946,0.4351034763168915,0.442512908777969,0.6349557033480636
rf,nofs,18,0.4952667814113597,0.4672468222623122,0.47563638154495314,0.4952667814113597,0.7133541322738284
dt,nofs,18,0.3731497418244406,0.3788025860690582,0.4020404059422651,0.3731497418244406,0.5587581490056535
lr,corr,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,corr,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,corr,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,corr,1,0.34449225473321865,0.3405189890408803,0.3402030758655475,0.34449225473321865,0.5363111360072326
dt,corr,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,tree,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,tree,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,tree,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,tree,1,0.3397303499713138,0.33631093553771396,0.33646343818572394,0.3397303499713138,0.5258901622290703
dt,tree,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,var,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6135999269261525
nb,var,1,0.4570281124497992,0.3728559787716049,0.3423713116187167,0.4570281124497992,0.6115610019956612
knn,var,1,0.42811244979919677,0.33534932077471014,0.3203869818030616,0.42811244979919677,0.5562082860077756
rf,var,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
dt,var,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
lr,lrs,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,lrs,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,lrs,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,lrs,1,0.33732071141709696,0.3334526125295315,0.3329648257131124,0.33732071141709696,0.5294260060279066
dt,lrs,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,rfe,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,rfe,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,rfe,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,rfe,1,0.3421113023522663,0.3383099884712239,0.33816603882851043,0.3421113023522663,0.5275173169613
dt,rfe,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,bor,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,bor,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,bor,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,bor,1,0.34449225473321865,0.34074815548500254,0.3404567721950277,0.34449225473321865,0.5334319083455306
dt,bor,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,lass,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6135999269261525
nb,lass,1,0.4570281124497992,0.3728559787716049,0.3423713116187167,0.4570281124497992,0.6115610019956612
knn,lass,1,0.42811244979919677,0.33534932077471014,0.3203869818030616,0.42811244979919677,0.5562082860077756
rf,lass,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
dt,lass,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
lr,muin,1,0.3708261617900172,0.21766205631977992,0.1630579885122828,0.3708261617900172,0.6167159713447483
nb,muin,1,0.38407917383820994,0.3266899871944119,0.28872430908170127,0.38407917383820994,0.6203989282807173
knn,muin,1,0.3681870338496845,0.24309426521652364,0.1913413522353979,0.3681870338496845,0.5679622891777149
rf,muin,1,0.44684452094090654,0.3496862915274402,0.294363488427939,0.44684452094090654,0.6179552536930141
dt,muin,1,0.44684452094090654,0.34992490697925266,0.29445113226558284,0.44684452094090654,0.6179552536930141
lr,chi,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6135999269261525
nb,chi,1,0.4570281124497992,0.3728559787716049,0.3423713116187167,0.4570281124497992,0.6115610019956612
knn,chi,1,0.42811244979919677,0.33534932077471014,0.3203869818030616,0.42811244979919677,0.5562082860077756
rf,chi,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
dt,chi,1,0.44988525530694207,0.3650688586261563,0.3354505612449641,0.44988525530694207,0.6089809318943821
lr,rfc,1,0.4567412507171543,0.39632611988338395,0.4102929033983725,0.4567412507171543,0.6339533845941862
nb,rfc,1,0.45929432013769367,0.4067006186106708,0.4260696306971058,0.45929432013769367,0.6353634609605996
knn,rfc,1,0.3661503155479059,0.3594945524486182,0.3820534069460548,0.3661503155479059,0.5537411964062432
rf,rfc,1,0.34449225473321865,0.34074815548500254,0.3404567721950277,0.34449225473321865,0.5318730820978697
dt,rfc,1,0.3325588066551922,0.3286964101579132,0.3285324099408352,0.3325588066551922,0.5191973130890938
lr,corr,2,0.4666666666666666,0.39085307379719814,0.4456311898985055,0.4666666666666666,0.6488209315560787
nb,corr,2,0.46431440045897876,0.40746393212054627,0.4764478489573154,0.46431440045897876,0.6506746266239153
knn,corr,2,0.3540734366035571,0.3484778864094025,0.3736526139817441,0.3540734366035571,0.5600622550776542
rf,corr,2,0.3135111876075731,0.3083600484111032,0.3111365376004734,0.3135111876075731,0.5339620523164038
dt,corr,2,0.32776821572002296,0.31568058356796247,0.3151422118501647,0.32776821572002296,0.5155293316595116
lr,tree,2,0.43278829604130803,0.3779128871338979,0.4039682217864651,0.43278829604130803,0.6457695720633776
nb,tree,2,0.45444635685599544,0.4204067440838298,0.4640171503868791,0.45444635685599544,0.6579800327756442
knn,tree,2,0.39495123350545036,0.387836231856549,0.41086541284467515,0.39495123350545036,0.5732212948355555
rf,tree,2,0.4211130235226621,0.40362156132127425,0.40449262195169566,0.4211130235226621,0.5982948695103317
dt,tree,2,0.4092656339644291,0.4050044056932974,0.41029089165183574,0.4092656339644291,0.5771100218588339
lr,var,2,0.42811244979919677,0.3278989788665369,0.29546626938053466,0.42811244979919677,0.6317598307664524
nb,var,2,0.3532989099254159,0.29116359421782056,0.2866596584274749,0.3532989099254159,0.630228492794741
knn,var,2,0.37286288009179575,0.29213796426424277,0.379099600516407,0.37286288009179575,0.5801795215195369
