model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,8,0.7721925133689839,0.7651578006551633,0.7680856472585024,0.7721925133689839,0.8326946191474492
nb,nofs,8,0.7513368983957219,0.7473185251057117,0.7461468359484341,0.7513368983957219,0.8171404612159329
knn,nofs,8,0.723979288685171,0.7174084750585557,0.7171119469043765,0.723979288685171,0.7486331236897275
rf,nofs,8,0.7682964094728801,0.7621245381608235,0.7663228764891293,0.7682964094728801,0.8280373864430468
dt,nofs,8,0.7175536881419233,0.715686277300199,0.7185458344207106,0.7175536881419233,0.686090146750524
lr,corr,1,0.7474747474747474,0.7350727590309492,0.742646455625491,0.7474747474747474,0.7875255066387142
nb,corr,1,0.7487649605296663,0.7320186182748151,0.746506440729368,0.7487649605296663,0.7866366177498254
knn,corr,1,0.7005687123334182,0.6921707317513244,0.6906893989942453,0.7005687123334182,0.7166656184486373
rf,corr,1,0.7201256260079789,0.7108764885210779,0.7122674901090166,0.7201256260079789,0.7358867924528302
dt,corr,1,0.716204057380528,0.6963667829692529,0.7061482296892999,0.716204057380528,0.727416142557652
lr,tree,1,0.7474747474747474,0.7350727590309492,0.742646455625491,0.7474747474747474,0.7875255066387142
nb,tree,1,0.7487649605296663,0.7320186182748151,0.746506440729368,0.7487649605296663,0.7866366177498254
knn,tree,1,0.7005687123334182,0.6921707317513244,0.6906893989942453,0.7005687123334182,0.7166656184486373
rf,tree,1,0.7136236312706901,0.7038923590858895,0.7042226203334023,0.7136236312706901,0.7338923829489867
dt,tree,1,0.716204057380528,0.6963667829692529,0.7061482296892999,0.716204057380528,0.727416142557652
lr,var,1,0.6562515915457092,0.5478059381637598,0.6396599059678416,0.6562515915457092,0.5376774982529698
nb,var,1,0.6510482981071216,0.5701732440417524,0.606984560243669,0.6510482981071216,0.6083895877009085
knn,var,1,0.5155844155844156,0.5174372870171775,0.6090314335628646,0.5155844155844156,0.5792449336128581
rf,var,1,0.6302096596214244,0.5827939215258795,0.5859475257900818,0.6302096596214244,0.5790489168413696
dt,var,1,0.6341057635175282,0.5785383678560564,0.5894965054268085,0.6341057635175282,0.5586156533892382
lr,lrs,1,0.6523469994058229,0.5563100171482542,0.6265610879771026,0.6523469994058229,0.6066869322152341
nb,lrs,1,0.6588829471182411,0.5852743181033622,0.6334997248155341,0.6588829471182411,0.5995101327742838
knn,lrs,1,0.5951107715813598,0.5680059929815118,0.5603068531373072,0.5951107715813598,0.5211408106219426
rf,lrs,1,0.559960954078601,0.5515254288699746,0.5466426533305803,0.559960954078601,0.525183787561146
