model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,4,0.9266666666666665,0.9256978893538322,0.9332630332630332,0.9266666666666665,0.9823333333333333
nb,nofs,4,0.9533333333333334,0.9530472646262119,0.9583838383838383,0.9533333333333334,0.9933333333333334
knn,nofs,4,0.96,0.9598997493734336,0.9622895622895623,0.96,0.9973333333333333
rf,nofs,4,0.9666666666666668,0.9664818612187034,0.9707070707070706,0.9666666666666668,0.9891666666666665
dt,nofs,4,0.9666666666666668,0.9665831244778612,0.9683501683501683,0.9666666666666668,0.975
lr,corr,1,0.9466666666666667,0.9464985696564643,0.9501010101010101,0.9466666666666667,0.9896666666666667
nb,corr,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9916666666666666
knn,corr,1,0.96,0.9598319029897977,0.9634343434343435,0.96,0.9773333333333334
rf,corr,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.9753333333333334
dt,corr,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.966
lr,tree,1,0.9466666666666667,0.9464985696564643,0.9501010101010101,0.9466666666666667,0.9896666666666667
nb,tree,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9916666666666666
knn,tree,1,0.96,0.9598319029897977,0.9634343434343435,0.96,0.9773333333333334
rf,tree,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.9753333333333334
dt,tree,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.966
lr,var,1,0.9466666666666667,0.9464985696564643,0.9501010101010101,0.9466666666666667,0.9896666666666667
nb,var,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9916666666666666
knn,var,1,0.96,0.9598319029897977,0.9634343434343435,0.96,0.9773333333333334
rf,var,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.9760000000000002
dt,var,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.966
lr,lrs,1,0.9466666666666667,0.9464985696564643,0.9501010101010101,0.9466666666666667,0.9896666666666667
nb,lrs,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9916666666666666
knn,lrs,1,0.96,0.9598319029897977,0.9634343434343435,0.96,0.9773333333333334
rf,lrs,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.9773333333333334
dt,lrs,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.966
lr,rfe,1,0.9,0.8959430141009086,0.9196248196248197,0.9,0.9876666666666667
nb,rfe,1,0.9533333333333334,0.9532832080200502,0.9538047138047139,0.9533333333333334,0.99
knn,rfe,1,0.9333333333333333,0.933131819447609,0.9366329966329967,0.9333333333333333,0.985
rf,rfe,1,0.9200000000000002,0.9198653198653199,0.9222222222222223,0.9200000000000002,0.9803333333333335
dt,rfe,1,0.9200000000000002,0.9198653198653199,0.9222222222222223,0.9200000000000002,0.9583333333333334
lr,bor,1,0.72,0.6932229824786023,0.7292920967920968,0.72,0.866
nb,bor,1,0.7266666666666667,0.71726345151436,0.7506761756761756,0.7266666666666667,0.8713333333333333
knn,bor,1,0.6733333333333332,0.6488643092564661,0.7143212669683258,0.6733333333333332,0.8226666666666669
rf,bor,1,0.7133333333333333,0.7031273396490787,0.7247694897694898,0.7133333333333333,0.8185
