model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,60,0.654123112659698,0.6501680407777366,0.6668247736235295,0.654123112659698,0.713785105055128
nb,nofs,60,0.6234610917537747,0.6137795886877223,0.6495970020512554,0.6234610917537747,0.7298543790305804
knn,nofs,60,0.5425087108013937,0.5396170988181705,0.5439104725004018,0.5425087108013937,0.5926175369253172
rf,nofs,60,0.6637630662020906,0.658408063542495,0.6792268795002249,0.6637630662020906,0.7455684418556272
dt,nofs,60,0.6310104529616725,0.6248147178895699,0.6420695664226002,0.6310104529616725,0.6293155814437278
lr,corr,1,0.7457607433217189,0.7359769835472163,0.7764746703313008,0.7457607433217189,0.7727324734761806
nb,corr,1,0.6977932636469222,0.6888921786866526,0.7200695951519372,0.6977932636469222,0.7727324734761806
knn,corr,1,0.7167247386759582,0.7029078437454199,0.756097094676453,0.7167247386759582,0.7553026835864365
rf,corr,1,0.6636469221835075,0.659923807521652,0.6704691903331662,0.6636469221835075,0.7302080299563137
dt,corr,1,0.6636469221835075,0.659923807521652,0.6704691903331662,0.6636469221835075,0.6648065321406282
lr,tree,1,0.7365853658536585,0.7312138837014007,0.7549936284102295,0.7365853658536585,0.7269617224880383
nb,tree,1,0.7319396051103368,0.7285928913211953,0.7463231294853497,0.7319396051103368,0.7269617224880383
knn,tree,1,0.6735191637630662,0.6712503662978904,0.682474995507367,0.6735191637630662,0.7325005200748909
rf,tree,1,0.6396051103368177,0.6334788945894292,0.647002985496888,0.6396051103368177,0.7136186810900769
dt,tree,1,0.6397212543554007,0.6338507696908442,0.6471354041303827,0.6397212543554007,0.637639900145621
lr,var,1,0.6199767711962834,0.5999429996787603,0.6409380210215245,0.6199767711962834,0.6231235697940504
nb,var,1,0.6103368176538908,0.5941478471240391,0.6215028385337875,0.6103368176538908,0.6231235697940504
knn,var,1,0.5573751451800233,0.5527410327451904,0.567518257070036,0.5573751451800233,0.5537949864780528
rf,var,1,0.5288037166085947,0.5255816280681531,0.5325586949582037,0.5288037166085947,0.5102985229873102
dt,var,1,0.5385598141695703,0.5361789639799948,0.5416440018982297,0.5385598141695703,0.5349791970043686
lr,lrs,1,0.7365853658536585,0.7312138837014007,0.7549936284102295,0.7365853658536585,0.7269617224880383
nb,lrs,1,0.7319396051103368,0.7285928913211953,0.7463231294853497,0.7319396051103368,0.7269617224880383
knn,lrs,1,0.6735191637630662,0.6712503662978904,0.682474995507367,0.6735191637630662,0.7325005200748909
rf,lrs,1,0.6348432055749129,0.6291012352117697,0.6409033841178748,0.6348432055749129,0.7200759309340545
dt,lrs,1,0.6397212543554007,0.6338507696908442,0.6471354041303827,0.6397212543554007,0.637639900145621
lr,rfe,1,0.7365853658536585,0.7312138837014007,0.7549936284102295,0.7365853658536585,0.7269617224880383
nb,rfe,1,0.7319396051103368,0.7285928913211953,0.7463231294853497,0.7319396051103368,0.7269617224880383
