model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,11,0.5688001953548947,0.5241203231192598,0.5135826847760538,0.5688001953548947,0.7473230852798987
nb,nofs,11,0.5195354894725417,0.5181387626812282,0.5427711898035217,0.5195354894725417,0.7151173089051067
knn,nofs,11,0.5320137833731279,0.5158819044176968,0.5195558720785728,0.5320137833731279,0.6698130736976801
rf,nofs,11,0.5666051660516606,0.542126990700431,0.5508302362104764,0.5666051660516606,0.7361220693497423
dt,nofs,11,0.4679780768395919,0.4644920175884549,0.47223633737314774,0.4679780768395919,0.5915832754080849
lr,corr,1,0.5533671586715867,0.49635225064522437,0.49500641797807454,0.5533671586715867,0.7078312705920589
nb,corr,1,0.5496934013457782,0.4965684466408308,0.4968187110985231,0.5496934013457782,0.7064142686704452
knn,corr,1,0.49004232689385707,0.45324303463693827,0.4589407470272554,0.49004232689385707,0.6312272180445172
rf,corr,1,0.5106658345995225,0.4715793874642465,0.4608866918384288,0.5106658345995225,0.6793503664849914
dt,corr,1,0.5165509008031256,0.4719981175254756,0.4653348686658565,0.5165509008031256,0.6786531582724775
lr,tree,1,0.5533671586715867,0.49635225064522437,0.49500641797807454,0.5533671586715867,0.7078312705920589
nb,tree,1,0.5496934013457782,0.4965684466408308,0.4968187110985231,0.5496934013457782,0.7064142686704452
knn,tree,1,0.49004232689385707,0.45324303463693827,0.4589407470272554,0.49004232689385707,0.6312272180445172
rf,tree,1,0.5077246581289343,0.46680884873608103,0.4622554840207753,0.5077246581289343,0.6784612639760592
dt,tree,1,0.5165509008031256,0.4719981175254756,0.4653348686658565,0.5165509008031256,0.6786531582724775
lr,var,1,0.46431245930106363,0.40192786934264096,0.37934173870866933,0.46431245930106363,0.5651592144663132
nb,var,1,0.4591572606902539,0.39410201859074523,0.3833180225322161,0.4591572606902539,0.5649620625002825
knn,var,1,0.3929292381159105,0.33035429941336925,0.32793232225868635,0.3929292381159105,0.4994666236027726
rf,var,1,0.39587312784892553,0.3597962586952652,0.35195116894632544,0.39587312784892553,0.515663041932659
dt,var,1,0.3951459735185587,0.3457864996309655,0.32765089107087675,0.3951459735185587,0.5152962978345331
lr,lrs,1,0.5533671586715867,0.49635225064522437,0.49500641797807454,0.5533671586715867,0.7078312705920589
nb,lrs,1,0.5496934013457782,0.4965684466408308,0.4968187110985231,0.5496934013457782,0.7064142686704452
knn,lrs,1,0.49004232689385707,0.45324303463693827,0.4589407470272554,0.49004232689385707,0.6312272180445172
rf,lrs,1,0.5150775993054049,0.47337099233919594,0.4675358968863931,0.5150775993054049,0.6799061554397929
dt,lrs,1,0.5165509008031256,0.4719981175254756,0.4653348686658565,0.5165509008031256,0.6786531582724775
lr,rfe,1,0.46136042978076847,0.38638885163601694,0.3780637500635516,0.46136042978076847,0.5780860313611987
nb,rfe,1,0.4584463859344476,0.38567697755243163,0.3680558377690744,0.4584463859344476,0.5502220613483488
knn,rfe,1,0.42384143694378124,0.38758823873633225,0.3798599435121778,0.42384143694378124,0.5355995257645032
rf,rfe,1,0.39951703928803994,0.38356706038337585,0.3808785122373801,0.39951703928803994,0.5198882092023906
dt,rfe,1,0.3840650097677447,0.3632209727884589,0.3703112647405228,0.3840650097677447,0.5126543224933889
lr,bor,1,0.493735077056653,0.44229661352522587,0.40419295643156905,0.493735077056653,0.6417639353301184
nb,bor,1,0.4930052094638594,0.4471749859237245,0.4162063003178454,0.4930052094638594,0.6408499378682011
knn,bor,1,0.4415183416540048,0.39256754812867484,0.40932401538654106,0.4415183416540048,0.5621619006946659
