dataset,model,fs_method,k,accuracy,fmeasure,precision,recall,roc
iris,svc,corr,1,0.9666666666666668,0.9665152780942254,0.9694949494949496,0.9666666666666668,0.9906666666666666
parkinsons,knn,lrs,4,0.8974358974358975,0.8923957540994716,0.9204210604210604,0.8974358974358975,0.9577394636015326
cirrhosis,rf,rfc,17,0.5382960413080895,0.5165380893837946,0.5576709421049387,0.5382960413080895,0.714248296367772
diabetes,rf,rfe,7,0.7786945081062727,0.7727246313097245,0.7775576243096726,0.7786945081062727,0.8305314465408806
heart_disease,lr,lrs,9,0.8452542372881355,0.84361195546077,0.8507800811313885,0.8452542372881355,0.8909308862433862
sonar,lr,lass,14,0.7887340301974447,0.7860741838040455,0.8135111131272541,0.7887340301974447,0.8453931766174329
stroke,lr,lrs,6,0.9578328361059728,0.9375920555920612,0.933950326323172,0.9578328361059728,0.846510613586379
abalone,rf,var,7,0.8194882961350027,0.8078044903249845,0.8015758355877687,0.8194882961350027,0.8760272712556118
wine,ab,tree,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,xgb,upcorr,25,0.97893184288154,0.9788139652926412,0.979344566421491,0.97893184288154,0.9947366585386568
